"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 03, 2012","135.70","135.70","135.70","135.70","-","-0.44%"
"Dec 29, 2011","136.30","136.30","136.30","136.30","-","0.07%"
"Dec 28, 2011","136.20","136.20","136.20","136.20","-","0.07%"
"Dec 27, 2011","136.10","136.10","136.10","136.10","-","0.00%"
"Dec 23, 2011","136.10","136.10","136.10","136.10","-","0.00%"
"Dec 22, 2011","136.10","136.10","136.10","136.10","-","0.00%"
"Dec 21, 2011","136.10","136.10","136.10","136.10","-","0.00%"
"Dec 20, 2011","136.10","136.10","136.10","136.10","-","-0.15%"
"Dec 19, 2011","136.30","136.30","136.30","136.30","-","-0.15%"
"Dec 16, 2011","136.50","136.50","136.50","136.50","-","-0.07%"
"Dec 15, 2011","136.60","136.60","136.60","136.60","-","-0.07%"
"Dec 14, 2011","136.70","136.70","136.70","136.70","-","0.00%"
"Dec 13, 2011","136.70","136.70","136.70","136.70","-","0.07%"
"Dec 12, 2011","136.60","136.60","136.60","136.60","-","0.07%"
"Dec 09, 2011","136.50","136.50","136.50","136.50","-","0.07%"
"Dec 08, 2011","136.40","136.40","136.40","136.40","-","0.15%"
"Dec 07, 2011","136.20","136.20","136.20","136.20","-","0.15%"
"Dec 06, 2011","136.00","136.00","136.00","136.00","-","0.15%"
"Dec 05, 2011","135.80","135.80","135.80","135.80","-","0.15%"
"Dec 02, 2011","135.60","135.60","135.60","135.60","-","0.07%"
"Dec 01, 2011","135.50","135.50","135.50","135.50","-","0.00%"
"Nov 30, 2011","135.50","135.50","135.50","135.50","-","-0.22%"
"Nov 29, 2011","135.80","135.80","135.80","135.80","-","-0.15%"
"Nov 28, 2011","136.00","136.00","136.00","136.00","-","-0.22%"
"Nov 25, 2011","136.30","136.30","136.30","136.30","-","0.37%"
"Nov 23, 2011","135.80","135.80","135.80","135.80","-","0.07%"
"Nov 22, 2011","135.70","135.70","135.70","135.70","-","0.30%"
"Nov 21, 2011","135.30","135.30","135.30","135.30","-","0.07%"
"Nov 18, 2011","135.20","135.20","135.20","135.20","-","0.30%"
"Nov 17, 2011","134.80","134.80","134.80","134.80","-","0.52%"
"Nov 16, 2011","134.10","134.10","134.10","134.10","-","0.52%"
"Nov 15, 2011","133.40","133.40","133.40","133.40","-","1.44%"
"Nov 14, 2011","131.50","131.50","131.50","131.50","-","0.15%"
"Nov 11, 2011","131.30","131.30","131.30","131.30","-","0.00%"
"Nov 10, 2011","131.30","131.30","131.30","131.30","-","-1.43%"
"Nov 09, 2011","133.20","133.20","133.20","133.20","-","2.07%"
